match_id,home_xg,away_xg,home_shots,away_shots,home_possession,away_possession,home_fouls,away_fouls,home_yellows,away_yellows
1,2.48,0.61,10,9,46.5,53.5,13,16,4,2
2,0.88,0.5,11,9,46.3,53.7,10,13,1,2
3,3.37,2.01,11,14,39.7,60.3,9,8,2,3
4,0.73,0.61,11,12,50.3,49.7,12,16,0,2
5,1.95,1.31,14,9,61.7,38.3,17,18,0,3
6,1.74,0.48,11,9,50.6,49.4,15,16,2,0
7,1.31,0.49,9,6,52.9,47.1,15,17,1,2
8,2.59,0.66,13,4,68.5,31.5,10,12,0,4
9,0.1,2.77,6,11,35.0,65.0,18,9,1,4
10,0.8,0.88,16,5,53.7,46.3,8,8,0,1
11,1.56,1.72,15,13,51.3,48.7,8,15,2,3
12,1.2,1.18,12,7,58.4,41.6,10,10,0,4
13,2.59,4.31,17,8,52.7,47.3,18,14,1,2
14,0.43,0.72,9,14,48.4,51.6,11,14,2,2
15,1.83,0.56,17,6,57.4,42.6,9,17,2,0
16,2.02,2.03,8,13,46.3,53.7,16,18,0,1
17,0.96,2.43,8,13,42.0,58.0,11,16,0,3
18,1.48,2.82,13,6,61.8,38.2,9,15,2,2
19,1.39,1.17,16,5,58.0,42.0,13,9,4,3
20,1.48,0.1,10,6,50.3,49.7,8,13,1,2
21,1.62,2.34,14,6,56.6,43.4,17,12,4,1
22,0.73,2.24,8,12,50.7,49.3,15,13,4,3
23,2.12,1.75,12,11,58.7,41.3,11,16,1,1
24,0.98,0.73,11,9,57.9,42.1,8,14,0,1
25,1.73,2.17,12,12,51.2,48.8,16,13,0,2
26,2.69,1.52,10,15,40.1,59.9,8,18,3,2
27,1.43,4.62,8,19,36.8,63.2,9,11,4,1
28,3.28,0.63,12,8,59.2,40.8,14,15,0,1
29,0.75,2.16,11,11,58.6,41.4,12,9,0,1
30,0.73,1.63,11,17,40.8,59.2,16,14,2,3
31,1.03,0.18,17,4,54.2,45.8,9,17,0,4
32,2.02,1.7,8,5,45.4,54.6,10,18,3,0
33,1.93,2.39,12,18,38.4,61.6,17,17,0,3
34,2.14,1.15,11,8,47.4,52.6,18,10,1,2
35,1.37,1.61,10,14,53.0,47.0,12,13,3,2
36,1.64,1.11,13,9,59.7,40.3,13,15,2,1
37,2.44,1.09,13,9,60.9,39.1,9,11,1,4
38,1.99,1.48,13,4,58.4,41.6,9,10,0,1
39,2.09,1.2,9,8,55.8,44.2,15,15,2,3
40,2.18,1.47,8,12,43.4,56.6,9,16,2,1
41,1.42,0.34,9,2,61.6,38.4,15,12,3,2
42,0.67,1.77,8,14,42.6,57.4,9,9,1,2
43,2.44,1.54,14,5,60.3,39.7,17,8,1,2
44,1.62,0.29,12,5,63.1,36.9,10,9,1,2
45,2.59,2.07,7,17,35.0,65.0,14,16,0,2
46,3.39,0.84,11,10,43.2,56.8,12,10,0,3
47,1.69,0.71,7,12,44.2,55.8,15,16,4,1
48,1.16,1.28,9,16,44.6,55.4,9,15,0,1
49,2.21,0.91,9,3,52.8,47.2,9,8,0,1
50,1.69,2.34,14,9,52.7,47.3,10,11,3,2
51,1.05,0.44,11,3,59.1,40.9,18,18,0,4
52,1.2,2.11,18,5,70.0,30.0,17,12,0,0
53,1.79,1.87,9,12,48.6,51.4,9,11,3,1
54,2.07,0.86,17,4,70.0,30.0,9,13,0,0
55,1.3,2.07,9,5,51.3,48.7,15,8,1,4
56,1.55,2.5,22,1,68.1,31.9,14,14,3,0
57,1.86,0.73,16,4,63.2,36.8,14,18,3,1
58,1.23,2.05,11,6,56.8,43.2,13,11,1,2
59,0.87,2.18,9,11,40.4,59.6,12,15,1,0
60,2.79,1.42,12,7,51.7,48.3,17,17,4,1
61,1.55,3.31,10,14,44.2,55.8,18,12,3,3
62,2.31,2.49,5,11,47.5,52.5,16,15,0,0
63,1.9,0.87,17,8,61.5,38.5,12,14,1,3
64,2.65,1.35,15,11,52.9,47.1,11,18,4,1
65,0.89,1.33,13,8,49.9,50.1,18,16,0,3
66,0.82,1.58,13,4,58.1,41.9,13,15,4,3
67,1.64,0.88,13,10,53.5,46.5,13,17,4,2
68,2.04,2.76,15,13,51.6,48.4,14,12,1,0
69,1.55,1.48,11,14,52.3,47.7,13,17,1,0
70,1.66,2.55,14,8,56.8,43.2,12,8,3,4
71,0.87,0.69,6,9,49.6,50.4,13,17,1,1
72,1.24,2.31,6,17,35.0,65.0,9,11,1,2
73,1.99,1.47,10,8,47.5,52.5,16,8,1,4
74,2.05,1.17,11,10,62.1,37.9,14,13,1,1
75,0.8,1.16,13,10,52.3,47.7,11,17,2,2
76,2.29,1.87,8,13,43.0,57.0,17,8,2,4
77,1.48,0.99,18,1,63.0,37.0,17,10,4,1
78,1.72,1.97,11,14,41.5,58.5,15,16,2,1
79,3.05,0.1,15,5,54.2,45.8,15,8,0,0
80,1.24,2.54,7,17,35.0,65.0,11,17,1,0
81,2.05,1.79,9,9,50.5,49.5,16,15,0,2
82,2.59,0.48,14,8,58.0,42.0,17,11,1,2
83,0.85,0.37,13,8,57.3,42.7,10,13,0,0
84,0.1,1.47,7,8,52.7,47.3,10,17,1,0
85,2.43,1.51,12,8,60.4,39.6,16,13,0,2
86,1.22,2.14,15,6,53.7,46.3,18,14,4,0
87,1.75,1.04,10,12,46.1,53.9,13,12,2,1
88,3.14,1.59,16,15,57.1,42.9,10,14,3,2
89,3.67,1.27,15,8,63.8,36.2,10,16,4,2
90,2.54,2.79,13,17,43.1,56.9,11,18,4,1
91,0.68,0.93,10,10,44.3,55.7,14,12,2,1
92,4.45,0.83,17,10,53.1,46.9,10,8,4,3
93,0.82,2.37,11,8,51.2,48.8,17,8,1,4
94,1.05,1.2,9,10,35.5,64.5,13,17,1,4
95,1.99,1.18,12,13,50.4,49.6,9,15,1,2
96,2.49,0.18,19,3,70.0,30.0,9,11,2,2
97,0.83,2.07,11,11,44.9,55.1,10,18,0,2
98,0.63,0.96,13,4,60.6,39.4,15,8,2,1
99,3.98,1.0,14,9,58.7,41.3,11,9,2,2
100,1.87,1.34,11,8,47.7,52.3,9,8,0,3
101,0.75,1.7,3,8,45.3,54.7,15,14,1,3
102,1.33,1.15,12,10,48.1,51.9,15,14,2,4
103,3.43,0.67,10,7,61.4,38.6,14,9,3,4
104,1.21,0.81,14,5,57.1,42.9,18,18,1,1
105,2.1,2.14,16,1,70.0,30.0,15,9,0,2
106,3.71,1.02,17,8,62.3,37.7,8,13,2,0
107,2.79,0.96,7,10,44.4,55.6,9,13,1,3
108,1.89,0.83,8,6,55.9,44.1,10,9,4,0
109,1.88,0.68,18,2,64.7,35.3,13,17,4,3
110,1.09,3.23,6,11,42.3,57.7,8,14,1,4
111,1.95,3.69,12,12,40.7,59.3,14,10,0,0
112,2.69,1.14,4,16,42.5,57.5,13,11,1,3
113,2.38,1.29,9,9,51.6,48.4,16,16,2,2
114,2.66,0.45,10,7,55.3,44.7,12,11,0,0
115,1.31,3.34,13,10,51.3,48.7,14,17,4,3
116,2.05,0.73,10,6,40.1,59.9,10,8,2,0
117,2.93,1.2,17,4,64.6,35.4,14,9,2,4
118,0.5,1.99,6,8,45.0,55.0,15,11,0,0
119,1.59,1.62,9,6,59.7,40.3,11,10,2,0
120,2.03,0.82,18,6,70.0,30.0,15,9,2,3
121,2.19,0.34,7,10,48.4,51.6,15,15,2,0
122,0.93,1.8,13,14,53.9,46.1,18,16,3,1
123,1.29,1.4,13,10,46.7,53.3,13,14,2,1
124,1.89,2.43,14,11,55.1,44.9,15,8,2,3
125,1.35,2.65,11,8,57.1,42.9,15,12,1,2
126,1.92,1.17,15,9,49.8,50.2,17,8,1,0
127,1.42,1.18,14,6,61.3,38.7,9,18,2,4
128,1.73,0.97,18,8,53.5,46.5,14,17,1,4
129,0.56,1.37,9,13,48.7,51.3,8,14,4,3
130,2.07,1.85,9,13,46.5,53.5,16,18,3,4
131,1.23,0.98,11,10,55.4,44.6,11,15,2,0
132,0.63,0.63,11,8,55.6,44.4,14,8,4,4
133,0.1,0.99,3,12,38.9,61.1,16,17,4,1
134,0.82,1.41,12,11,50.9,49.1,9,15,1,1
135,1.9,0.95,16,5,63.6,36.4,11,11,1,0
136,2.02,1.65,7,8,46.3,53.7,14,9,3,1
137,1.91,0.78,14,8,50.8,49.2,18,10,4,2
138,0.46,1.68,12,9,50.9,49.1,13,9,0,3
139,1.78,2.74,11,11,45.2,54.8,16,14,4,2
140,0.83,2.47,7,13,41.7,58.3,12,16,3,0
141,1.69,0.89,16,8,58.7,41.3,17,17,4,3
142,0.25,0.87,10,11,52.5,47.5,9,14,1,1
143,1.4,0.77,10,6,54.7,45.3,17,17,4,0
144,0.48,0.97,7,15,43.7,56.3,9,17,0,2
145,0.76,2.55,12,10,57.8,42.2,16,13,3,2
146,1.7,1.91,14,9,59.6,40.4,14,18,3,4
147,1.92,0.62,12,7,64.6,35.4,17,15,0,1
148,1.38,1.47,9,12,52.5,47.5,12,14,1,4
149,2.04,0.1,11,11,48.5,51.5,17,18,3,0
150,0.22,0.22,8,8,52.1,47.9,14,13,1,0
151,1.26,0.29,14,5,61.9,38.1,15,12,2,0
152,2.17,1.48,16,5,68.8,31.2,13,12,2,2
153,1.56,2.04,9,14,46.1,53.9,15,18,0,1
154,3.5,0.76,13,10,41.1,58.9,10,12,3,2
155,2.32,0.1,6,6,45.0,55.0,12,14,4,0
156,1.55,0.1,9,4,42.9,57.1,11,15,1,3
157,1.55,1.49,12,11,51.4,48.6,15,16,2,0
158,1.32,1.54,16,6,53.7,46.3,16,10,0,2
