match_id,matchweek,match_date,home_team_id,away_team_id,home_goals,away_goals,stadium,referee
1,1,2023-08-12,15,11,3,0,City Ground,Paul Tierney
2,1,2023-08-12,17,5,0,0,Tottenham Hotspur Stadium,Stuart Attwell
3,1,2023-08-12,17,8,3,2,Tottenham Hotspur Stadium,Stuart Attwell
4,1,2023-08-12,16,4,0,0,Bramall Lane,Paul Tierney
5,1,2023-08-12,4,12,1,1,Amex Stadium,Paul Tierney
6,1,2023-08-12,8,17,1,0,Goodison Park,Michael Oliver
7,1,2023-08-12,5,4,1,1,Turf Moor,Jarrod Gillett
8,1,2023-08-12,14,16,2,1,St. James Park,Craig Pawson
9,1,2023-08-12,14,15,0,3,St. James Park,David Coote
10,1,2023-08-12,11,17,0,1,Kenilworth Road,Jarrod Gillett
11,2,2023-08-19,19,8,0,1,Molineux,Paul Tierney
12,2,2023-08-19,10,18,1,1,Anfield,Paul Tierney
13,2,2023-08-19,2,3,2,6,Villa Park,Michael Oliver
14,2,2023-08-19,4,5,0,0,Amex Stadium,Craig Pawson
15,2,2023-08-19,4,11,1,0,Amex Stadium,Craig Pawson
16,2,2023-08-19,1,2,2,1,Emirates Stadium,Simon Hooper
17,2,2023-08-19,20,4,1,2,Vitality Stadium,Anthony Taylor
18,2,2023-08-19,13,9,0,3,Old Trafford,Jarrod Gillett
19,2,2023-08-19,19,3,0,1,Molineux,Anthony Taylor
20,2,2023-08-19,1,4,2,0,Emirates Stadium,Chris Kavanagh
21,3,2023-08-26,8,7,1,3,Goodison Park,Stuart Attwell
22,3,2023-08-26,8,13,0,2,Goodison Park,John Brooks
23,3,2023-08-26,10,15,2,1,Anfield,John Brooks
24,3,2023-08-26,12,17,0,0,Etihad Stadium,Craig Pawson
25,3,2023-08-26,7,3,1,2,Selhurst Park,David Coote
26,3,2023-08-26,9,3,2,0,Craven Cottage,Anthony Taylor
27,3,2023-08-26,1,13,1,5,Emirates Stadium,Simon Hooper
28,3,2023-08-26,16,12,4,0,Bramall Lane,David Coote
29,3,2023-08-26,9,20,0,2,Craven Cottage,Chris Kavanagh
30,3,2023-08-26,15,1,0,1,City Ground,John Brooks
31,4,2023-09-02,16,2,0,0,Bramall Lane,Jarrod Gillett
32,4,2023-09-02,9,5,2,2,Craven Cottage,Paul Tierney
33,4,2023-09-02,17,18,2,1,Tottenham Hotspur Stadium,Jarrod Gillett
34,4,2023-09-02,14,5,1,1,St. James Park,Paul Tierney
35,4,2023-09-02,12,6,0,0,Etihad Stadium,Jarrod Gillett
36,4,2023-09-02,12,7,1,0,Etihad Stadium,Anthony Taylor
37,4,2023-09-02,1,9,2,2,Emirates Stadium,John Brooks
38,4,2023-09-02,9,4,2,2,Craven Cottage,John Brooks
39,4,2023-09-02,12,19,2,0,Etihad Stadium,David Coote
40,4,2023-09-02,13,4,2,1,Old Trafford,Jarrod Gillett
41,5,2023-09-09,16,7,1,1,Bramall Lane,Stuart Attwell
42,5,2023-09-09,7,18,1,1,Selhurst Park,Simon Hooper
43,5,2023-09-09,4,10,2,2,Amex Stadium,Jarrod Gillett
44,5,2023-09-09,11,9,1,0,Kenilworth Road,Jarrod Gillett
45,5,2023-09-09,5,15,3,1,Turf Moor,
46,5,2023-09-09,6,10,4,0,Stamford Bridge,Anthony Taylor
47,5,2023-09-09,9,18,2,0,Craven Cottage,Stuart Attwell
48,5,2023-09-09,9,16,1,0,Craven Cottage,John Brooks
49,5,2023-09-09,14,19,3,1,St. James Park,Anthony Taylor
50,5,2023-09-09,18,5,1,3,London Stadium,Craig Pawson
51,6,2023-09-16,2,12,0,1,Villa Park,Simon Hooper
52,6,2023-09-16,9,14,0,3,Craven Cottage,Anthony Taylor
53,6,2023-09-16,7,8,2,1,Selhurst Park,Stuart Attwell
54,6,2023-09-16,16,17,1,0,Bramall Lane,John Brooks
55,6,2023-09-16,7,20,1,3,Selhurst Park,Stuart Attwell
56,6,2023-09-16,2,19,0,4,Villa Park,Chris Kavanagh
57,6,2023-09-16,3,8,1,1,Gtech Community Stadium,Paul Tierney
58,6,2023-09-16,6,16,0,3,Stamford Bridge,Paul Tierney
59,6,2023-09-16,10,6,0,2,Anfield,Jarrod Gillett
60,6,2023-09-16,7,16,3,1,Selhurst Park,Stuart Attwell
61,7,2023-09-23,17,2,1,3,Tottenham Hotspur Stadium,Jarrod Gillett
62,7,2023-09-23,6,1,3,2,Stamford Bridge,Paul Tierney
63,7,2023-09-23,9,8,1,1,Craven Cottage,Paul Tierney
64,7,2023-09-23,12,1,2,1,Etihad Stadium,Stuart Attwell
65,7,2023-09-23,1,14,0,1,Emirates Stadium,David Coote
66,7,2023-09-23,8,20,0,2,Goodison Park,Chris Kavanagh
67,7,2023-09-23,8,14,1,0,Goodison Park,Stuart Attwell
68,7,2023-09-23,3,19,2,3,Gtech Community Stadium,Chris Kavanagh
69,7,2023-09-23,13,20,1,1,Old Trafford,Stuart Attwell
70,7,2023-09-23,20,12,0,3,Vitality Stadium,David Coote
71,8,2023-09-30,1,7,0,0,Emirates Stadium,Simon Hooper
72,8,2023-09-30,10,17,1,2,Anfield,Stuart Attwell
73,8,2023-09-30,8,5,3,1,Goodison Park,Stuart Attwell
74,8,2023-09-30,2,14,2,0,Villa Park,John Brooks
75,8,2023-09-30,1,15,0,0,Emirates Stadium,David Coote
76,8,2023-09-30,1,12,3,1,Emirates Stadium,Jarrod Gillett
77,8,2023-09-30,17,16,0,1,Tottenham Hotspur Stadium,Michael Oliver
78,8,2023-09-30,11,14,2,1,Kenilworth Road,John Brooks
79,8,2023-09-30,3,10,3,0,Gtech Community Stadium,Michael Oliver
80,8,2023-09-30,16,15,1,2,Bramall Lane,David Coote
81,9,2023-10-07,7,9,2,2,Selhurst Park,Stuart Attwell
82,9,2023-10-07,3,17,2,0,Gtech Community Stadium,Craig Pawson
83,9,2023-10-07,20,14,0,0,Vitality Stadium,Paul Tierney
84,9,2023-10-07,10,3,0,1,Anfield,Chris Kavanagh
85,9,2023-10-07,18,13,2,1,London Stadium,Chris Kavanagh
86,9,2023-10-07,8,2,0,3,Goodison Park,David Coote
87,9,2023-10-07,4,6,1,0,Amex Stadium,Paul Tierney
88,9,2023-10-07,18,9,4,1,London Stadium,David Coote
89,9,2023-10-07,4,1,4,0,Amex Stadium,Paul Tierney
90,9,2023-10-07,1,11,3,2,Emirates Stadium,David Coote
91,10,2023-10-14,16,8,1,0,Bramall Lane,David Coote
92,10,2023-10-14,20,10,4,0,Vitality Stadium,Stuart Attwell
93,10,2023-10-14,14,2,1,3,St. James Park,Anthony Taylor
94,10,2023-10-14,9,13,1,1,Craven Cottage,Jarrod Gillett
95,10,2023-10-14,8,16,2,0,Goodison Park,Michael Oliver
96,10,2023-10-14,2,15,2,0,Villa Park,Craig Pawson
97,10,2023-10-14,19,10,1,2,Molineux,Simon Hooper
98,10,2023-10-14,14,13,0,2,St. James Park,Michael Oliver
99,10,2023-10-14,8,3,4,0,Goodison Park,Simon Hooper
100,10,2023-10-14,20,7,2,1,Vitality Stadium,Craig Pawson
101,11,2023-10-21,9,10,1,1,Craven Cottage,Chris Kavanagh
102,11,2023-10-21,20,17,0,0,Vitality Stadium,Simon Hooper
103,11,2023-10-21,3,16,4,0,Gtech Community Stadium,Stuart Attwell
104,11,2023-10-21,10,19,1,1,Anfield,David Coote
105,11,2023-10-21,17,15,1,3,Tottenham Hotspur Stadium,Jarrod Gillett
106,11,2023-10-21,11,13,3,1,Kenilworth Road,David Coote
107,11,2023-10-21,16,19,3,0,Bramall Lane,Chris Kavanagh
108,11,2023-10-21,5,14,3,0,Turf Moor,Chris Kavanagh
109,11,2023-10-21,20,11,0,1,Vitality Stadium,Anthony Taylor
110,11,2023-10-21,10,1,1,4,Anfield,Jarrod Gillett
111,12,2023-10-28,6,9,2,4,Stamford Bridge,Anthony Taylor
112,12,2023-10-28,3,20,3,0,Gtech Community Stadium,Simon Hooper
113,12,2023-10-28,12,18,3,1,Etihad Stadium,Chris Kavanagh
114,12,2023-10-28,13,10,4,0,Old Trafford,John Brooks
115,12,2023-10-28,4,3,0,5,Amex Stadium,Chris Kavanagh
116,12,2023-10-28,7,15,2,1,Selhurst Park,Michael Oliver
117,12,2023-10-28,11,1,2,2,Kenilworth Road,David Coote
118,12,2023-10-28,14,20,0,2,St. James Park,Chris Kavanagh
119,12,2023-10-28,19,6,2,2,Molineux,Craig Pawson
120,12,2023-10-28,16,14,0,0,Bramall Lane,Paul Tierney
121,13,2023-11-04,11,6,3,0,Kenilworth Road,Anthony Taylor
122,13,2023-11-04,20,2,0,1,Vitality Stadium,Craig Pawson
123,13,2023-11-04,17,10,1,1,Tottenham Hotspur Stadium,Simon Hooper
124,13,2023-11-04,2,8,2,3,Villa Park,Michael Oliver
125,13,2023-11-04,4,17,2,2,Amex Stadium,David Coote
126,13,2023-11-04,7,6,1,0,Selhurst Park,Simon Hooper
127,13,2023-11-04,1,16,0,0,Emirates Stadium,John Brooks
128,13,2023-11-04,5,19,0,0,Turf Moor,Anthony Taylor
129,13,2023-11-04,6,7,0,1,Stamford Bridge,David Coote
130,13,2023-11-04,15,2,2,1,City Ground,Anthony Taylor
131,14,2023-11-11,13,19,0,0,Old Trafford,Craig Pawson
132,14,2023-11-11,11,3,0,0,Kenilworth Road,Craig Pawson
133,14,2023-11-11,10,14,0,0,Anfield,Jarrod Gillett
