player_id,team_id,name,position,age,nationality
1,1,Liam Jones,MID,24,Dutch
2,1,Mason Evans,MID,34,Spanish
3,1,Wilfried Gomez,GK,19,Portuguese
4,1,Henry Fischer,MID,34,Portuguese
5,1,Samir Fernandez,DEF,35,Belgian
6,1,James Johnson,MID,27,Belgian
7,1,Ethan Hall,FWD,27,German
8,1,Noah Diaz,DEF,28,Belgian
9,1,Harry Reyes,MID,29,Spanish
10,1,Riyad Martinez,FWD,36,Ivorian
11,1,Youri Walker,MID,18,Dutch
12,1,Declan Davies,FWD,20,Moroccan
13,1,Marcus Reyes,MID,28,Argentine
14,1,Phil Perez,DEF,25,Spanish
15,1,Ilkay Kone,DEF,24,Argentine
16,1,Ivan Diaz,DEF,34,Dutch
17,1,Jordan Taylor,DEF,18,Senegalese
18,1,Aaron Silva,GK,35,Senegalese
19,1,Leo Toure,MID,31,Brazilian
20,1,Raheem Thomas,DEF,34,Croatian
21,1,Raheem Mbeki,DEF,35,Moroccan
22,1,Phil Allen,FWD,21,Polish
23,1,Luis Davies,MID,20,Brazilian
24,1,Lucas Coulibaly,DEF,19,Moroccan
25,1,Ben Diallo,FWD,33,Belgian
26,2,Riyad Smith,MID,20,Croatian
27,2,Marcus Toure,DEF,26,Danish
28,2,Lucas Reyes,GK,25,Polish
29,2,Oscar Fischer,FWD,26,Polish
30,2,Ilkay Walker,DEF,22,Croatian
31,2,Ahmed Smith,MID,32,English
32,2,Liam Sanchez,FWD,26,Dutch
33,2,Jack Young,FWD,19,Spanish
34,2,Luis Brown,FWD,34,Brazilian
35,2,Mason Camara,MID,34,Argentine
36,2,Raheem Weber,FWD,30,Portuguese
37,2,Samir Walker,MID,29,Ivorian
38,2,John Weber,MID,24,Dutch
39,2,George Lopez,GK,34,Dutch
40,2,Wilfried Allen,GK,18,Dutch
41,2,George Williams,FWD,19,Polish
42,2,Kai Silva,MID,23,Croatian
43,2,Mason Klein,MID,24,Swedish
44,2,Reece Walker,DEF,30,Ivorian
45,2,Kyle Fernandez,MID,18,German
46,2,Jack Torres,MID,20,Dutch
47,2,Archie Walker,MID,21,Danish
48,2,Oscar Silva,MID,19,Norwegian
49,2,Riyad Evans,GK,34,English
50,2,Noah Young,DEF,32,Swedish
51,3,Leo Torres,FWD,22,Moroccan
52,3,James Diaz,DEF,31,Nigerian
