team_id,team_name,city,stadium,founded_year,manager
1,Arsenal,London,Emirates Stadium,1886,Mikel Arteta
2,Aston Villa,Birmingham,Villa Park,1874,Unai Emery
3,Brentford,London,Gtech Community Stadium,1889,Thomas Frank
4,Brighton,Brighton,Amex Stadium,1901,Roberto De Zerbi
5,Burnley,Burnley,Turf Moor,1882,Vincent Kompany
6,Chelsea,London,Stamford Bridge,1905,Mauricio Pochettino
7,Crystal Palace,London,Selhurst Park,1905,Oliver Glasner
8,Everton,Liverpool,Goodison Park,1878,Sean Dyche
9,Fulham,London,Craven Cottage,1879,Marco Silva
10,Liverpool,Liverpool,Anfield,1892,Jurgen Klopp
11,Luton Town,Luton,Kenilworth Road,1885,Rob Edwards
12,Manchester City,Manchester,Etihad Stadium,1880,Pep Guardiola
13,Manchester United,Manchester,Old Trafford,1878,Erik ten Hag
14,Newcastle United,Newcastle,St. James Park,1892,Eddie Howe
15,Nottm Forest,Nottingham,City Ground,1865,Nuno Espirito Santo
16,Sheffield United,Sheffield,Bramall Lane,1889,Chris Wilder
17,Tottenham,London,Tottenham Hotspur Stadium,1882,Ange Postecoglou
18,West Ham,London,London Stadium,1895,David Moyes
19,Wolves,Wolverhampton,Molineux,1877,Gary O'Neil
20,Bournemouth,Bournemouth,Vitality Stadium,1899,Andoni Iraola
